ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,User-ID,Book-Rating,Rating-Count
0894805770,What to Expect the First Year,Arlene Eisenberg,1989,Workman Publishing,29259,10,55
0345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books,29259,10,296
0380718340,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994,Avon,29259,10,126
0425147622,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group,29259,10,141
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,29259,7,194
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications,29259,10,65
0440183057,Stillwatch,MARY HIGGINS CLARK,1986,Dell,29259,9,60
0553560247,Dying for Chocolate (Culinary Mysteries (Paperback)),DIANE MOTT DAVIDSON,1993,Bantam,29259,8,86
0449227421,The Third Twin,Ken Follett,1997,Fawcett Books,29259,9,71
0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group,29259,10,145
0399149325,Portrait of a Killer: Jack the Ripper -- Case Closed,Patricia Cornwell,2002,G. P. Putnam's Sons,29259,8,64
0842329269,Apollyon: The Destroyer Is Unleashed (Left Behind No. 5),Jerry Jenkins,2000,Tyndale House Publishers,29259,9,59
0842329250,Soul Harvest: The World Takes Sides (Left Behind No. 4),Tim Lahaye,1999,Tyndale House Publishers,29259,8,74
0440217490,A Dangerous Fortune,Ken Follett,1994,Island,29259,9,62
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",29855,9,555
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books,29855,9,79
0385265700,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,1990,Anchor,29855,6,187
0425147622,The Body Farm,Patricia Daniels Cornwell,1995,Berkley Publishing Group,29855,10,141
044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books,29855,9,205
038079487X,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,1998,Perennial,29855,8,128
0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,29855,8,287
0345439104,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books,29855,6,96
0316780375,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve,1998,Back Bay Books,29855,7,106
0671894455,FORREST GUMP (Movie Tie in),Winston Groom,1994,Pocket,29855,5,98
0140092323,Lake Wobegon days,Garrison Keillor,1986,Penguin Books,29855,4,70
0671743058,Boy's Life,Robert McCammon,1992,Pocket,29855,10,60
0316781010,Fortune's Rocks: A Novel,Anita Shreve,1999,Back Bay Books,29855,7,80
051511992X,That Camden Summer,Lavyrle Spencer,1997,Jove Books,29855,6,80
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,Amber-Allen Publishing,30261,9,64
0385508417,Skipping Christmas,JOHN GRISHAM,2002,Doubleday,30261,6,51
0743224574,A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash,Sylvia Nasar,2001,Simon &amp; Schuster,30261,9,80
0446520802,The Notebook,Nicholas Sparks,1996,Warner Books,30261,10,57
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,30273,7,145
0316969680,The Beach House,James Patterson,2002,"Little, Brown",30273,7,61
0399146431,The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,30273,7,63
0451203895,4 Blondes,Candace Bushnell,2002,Signet Book,30273,6,101
0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone,30273,8,90
0446610542,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002,Warner Forever,30273,7,88
0525946829,Quentins,Maeve Binchy,2002,Dutton Books,30273,7,51
015100692X,The Crimson Petal and the White,Michel Faber,2002,Harcourt,30273,8,72
0446600474,Season of the Machete,James Patterson,1995,Warner Books,30273,6,56
0446605239,The Notebook,Nicholas Sparks,1998,Warner Books,30445,8,272
0064407675,"The Reptile Room (A Series of Unfortunate Events, Book 2)",Lemony Snicket,1999,HarperCollins,30445,10,82
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,30445,10,202
0064407683,"The Wide Window (A Series of Unfortunate Events, Book 3)",Lemony Snicket,2000,HarperCollins,30445,10,52
0312306326,Visions of Sugar Plums,Janet Evanovich,2002,St. Martin's Press,30712,7,59
0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),30806,8,298
0316782505,The Weight of Water,Anita Shreve,2001,"Little, Brown",30806,5,79
0451191145,Atlas Shrugged,Ayn Rand,1996,Signet Book,30806,5,57
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,30806,8,116
0671027581,Open Season,Linda Howard,2002,Pocket,30806,5,60
0440213029,The Lilac Bus: Stories,Maeve Binchy,1992,Dell,30806,6,56
0440218535,Smilla's Sense of Snow,Peter Hoeg,1997,Island,30898,7,67
0345348109,The Killer Angels,Michael Shaara,1993,Ballantine Books,30898,4,63
0446605239,The Notebook,Nicholas Sparks,1998,Warner Books,30898,4,272
080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,30898,8,174
0399147195,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,2001,Putnam Publishing Group,30898,6,72
0971880107,Wild Animus,Rich Shapero,2004,Too Far,30972,1,772
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,30972,8,106
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,30972,7,103
0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision,30972,9,135
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,30972,9,277
044021145X,The Firm,John Grisham,1992,Bantam Dell Publishing Group,30972,8,328
0380710218,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm),30972,8,96
055356451X,Night Sins,TAMI HOAG,1995,Bantam,30972,8,104
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,30972,10,371
0446601241,Kiss the Girls,James Patterson,1995,Warner Books,30972,7,147
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,30972,6,212
0671038184,Jewel,Bret Lott,1999,Washington Square Press,30972,9,123
0375707972,The Reader,Bernhard Schlink,1999,Vintage Books USA,30972,8,189
0425158616,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group,30972,8,134
0446607711,The Simple Truth,David Baldacci,1999,Warner Books,30972,5,100
0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group,30972,5,133
0446610100,Wish You Well,David Baldacci,2001,Warner Books,30972,9,75
044661064X,The First Counsel,Brad Meltzer,2001,Warner Vision,30972,5,63
0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books,30972,8,180
0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,30972,9,287
0452282829,We Were the Mulvaneys,Joyce Carol Oates,1996,Plume,30972,9,184
0449003795,P Is for Peril,Sue Grafton,2002,Ballantine Books,30972,8,124
042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group,30972,8,97
0671026011,The Empty Chair,Jeffery Deaver,2001,Pocket,30972,8,63
0440222656,The Horse Whisperer,Nicholas Evans,1996,Dell,30972,8,253
0425163407,Unnatural Exposure,Patricia Daniels Cornwell,1998,Berkley Publishing Group,30972,9,101
014100018X,Chocolat,Joanne Harris,2000,Penguin Books,30972,7,95
0671014919,My Gal Sunday,Mary Higgins Clark,2003,Pocket,30972,7,68
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,31652,9,291
051512608X,The Reef,Nora Roberts,1999,Jove Books,31652,5,84
1401088945,Ground Zero and Beyond,J. P. McCarthy,2003,Xlibris Corporation,31652,7,59
0971880107,Wild Animus,Rich Shapero,2004,Too Far,31826,1,772
0671888587,I'll Be Seeing You,Mary Higgins Clark,1994,Pocket,31826,10,108
0553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,31826,10,83
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,31826,10,106
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,31826,7,104
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001,Pocket,31826,10,103
0671867113,Moonlight Becomes You,Mary Higgins Clark,1997,Pocket,31826,10,91
0671673688,While My Pretty One Sleeps,Mary Higgins Clark,1990,Pocket,31826,10,94
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,31826,10,422
0451181379,The Door to December,Dean R. Koontz,1994,Signet Book,31826,10,86
0425142485,The Funhouse,Dean R. Koontz,1994,Berkley Publishing Group,31826,10,65
0451155750,The Dead Zone,Stephen King,2004,Signet Book,31826,10,52
0425124347,The Bad Place,Dean R. Koontz,1994,Berkley Publishing Group,31826,10,84
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon,31826,10,141
0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star,31826,10,99
0671004565,We'll Meet Again,Mary Higgins Clark,2000,Pocket,31826,10,92
0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,31826,10,93
0671024248,Hearts In Atlantis,Stephen King,2000,Pocket,31826,10,98
0451151259,Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass,31826,10,60
0671758896,"Loves Music, Loves to Dance",Mary Higgins Clark,1992,Pocket,31826,10,107
0451177096,Dolores Claiborne,Stephen King,2004,Signet Book,31826,10,102
0345384350,Icebound,Dean R. Koontz,1995,Ballantine Books,31826,10,79
0553579754,Fear Nothing,DEAN KOONTZ,1998,Bantam,31826,10,99
0671004549,You Belong To Me,Mary Higgins Clark,1999,Pocket Books,31826,10,79
0451153553,Misery,Stephen King,1988,New Amer Library,31826,10,78
0345384369,Intensity,DEAN KOONTZ,1996,Ballantine Books,31826,10,71
034539657X,Dark Rivers of the Heart,Dean R. Koontz,1995,Ballantine Books,31826,10,74
0440183057,Stillwatch,MARY HIGGINS CLARK,1986,Dell,31826,10,60
0425118703,Midnight,Dean R. Koontz,1995,Berkley Publishing Group,31826,10,67
0451188462,Desperation,Stephen King,1997,Signet Book,31826,9,59
0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket,31826,10,91
0440200989,Weep No More My Lady,Mary Higgins Clark,1993,Dell,31826,10,73
0671568175,Let Me Call You Sweetheart,Mary Higgins Clark,1996,Pocket,31826,10,87
074343627X,Dreamcatcher,Stephen King,2001,Pocket,31826,10,96
067102423X,Bag of Bones,Stephen King,1999,Pocket,31826,10,91
0553582755,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books,31826,10,101
0671004530,On the Street Where You Live,Mary Higgins Clark,2002,Pocket,31826,10,101
0451184963,Insomnia,Stephen King,1995,Signet Book,31826,9,112
042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group,31826,10,97
0451156609,The Tommyknockers,Stephen King,1994,Signet Book,31826,10,112
0425153975,The Eyes of Darkness,Dean R. Koontz,1996,Berkley Publishing Group,31826,10,62
0451167317,The Dark Half,Stephen King,1994,Signet Book,31826,10,103
0671701231,The Anastasia Syndrome,Mary Higgins Clark,1991,Pocket,31826,10,66
0425121259,The Servants of Twilight,Dean R. Koontz,1996,Berkley Publishing Group,31826,10,65
0451176464,Gerald's Game,Stephen King,2001,Signet Book,31826,10,85
0451186362,Rose Madder,Stephen King,2004,Signet Book,31826,10,86
034538430X,TickTock,Dean R. Koontz,1997,Ballantine Books,31826,10,69
0425132951,The House of Thunder,Dean R. Koontz,1993,Berkley Publishing Group,31826,10,69
0451170385,Four Past Midnight,Stephen King,2001,Signet Book,31826,10,68
0743460529,Daddy's Little Girl,Mary Higgins Clark,2003,Pocket,31826,10,74
0553580221,False Memory,Dean R. Koontz,2000,Bantam Books,31826,10,113
0451180232,Nightmares &amp; Dreamscapes,Stephen King,2004,Signet Book,31826,10,71
0451137965,Thinner,Stephen King,1985,New Amer Library,31826,10,60
0425128164,The Voice of the Night,Dean R. Koontz,1996,Berkley Publishing Group,31826,10,58
0425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group,31826,10,85
0553580191,Seize the Night,DEAN KOONTZ,1999,Bantam,31826,10,85
0451172817,Needful Things,Stephen King,2004,Signet Book,31826,10,104
0743211375,From a Buick 8 : A Novel,Stephen King,2002,Scribner,31826,10,70
0425130711,Cold Fire,Dean R. Koontz,1996,Berkley Publishing Group,31826,10,57
0451142934,Skeleton Crew,Stephen King,1986,New Amer Library,31826,10,59
0425158594,Demon Seed,Dean R. Koontz,1997,Berkley Publishing Group,31826,10,52
0425136981,Shadowfires,Dean R. Koontz,1994,Berkley Publishing Group,31826,10,67
0425147517,The Key to Midnight,Dean R. Koontz,1995,Berkley Publishing Group,31826,10,72
0345386108,Winter Moon,Dean R. Koontz,1995,Ballantine Books,31826,10,83
0425140032,Dragon Tears,Dean R. Koontz,1995,Berkley Publishing Group,31826,10,63
0451169514,It,Stephen King,1997,Signet Book,31826,10,57
0671014919,My Gal Sunday,Mary Higgins Clark,2003,Pocket,31826,10,68
0684814994,Christmas Box (Christmas Box Trilogy),Richard Paul Evans,1995,Simon &amp; Schuster,31826,10,55
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon,32440,7,126
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,32440,9,242
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,32440,9,305
0156027321,Life of Pi,Yann Martel,2003,Harvest Books,32440,9,239
0440122090,Echoes,Maeve Binchy,1989,Dell,32440,7,75
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,32440,9,73
0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books,32440,7,115
0380018179,The Thorn Birds,Colleen McCullough,1978,Avon,32440,8,141
0380813815,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2003,Perennial,32440,7,93
0446606812,Message in a Bottle,Nicholas Sparks,1999,Warner Vision,32440,6,212
0767902521,A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999,Broadway Books,32440,7,85
0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA,32440,9,79
0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,32440,5,143
0802139256,Peace Like a River,Leif Enger,2002,Grove Press,32440,7,61
0684874350,ANGELA'S ASHES,Frank McCourt,1996,Scribner,32440,9,138
0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,32440,8,262
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor,32440,9,72
0451166582,The Eyes of the Dragon,Stephen King,2001,Signet Book,32440,7,53
0380817691,Stalker: A Peter Decker and Rina Lazarus Novel,Faye Kellerman,2001,Avon,32440,7,59
0345404769,Silent Witness,RICHARD NORTH PATTERSON,1997,Ballantine Books,32440,9,62
0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,32440,9,92
0679735771,American Psycho (Vintage Contemporaries),Bret Easton Ellis,2000,Vintage Books USA,32440,2,70
0374199698,Middlesex: A Novel,Jeffrey Eugenides,2002,"Farrar, Straus and Giroux",32440,8,81
006101351X,The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1998,HarperTorch,32627,8,213
0441003257,Good Omens,Neil Gaiman,1996,Ace Books,32627,8,88
0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,32627,8,65
0743211375,From a Buick 8 : A Novel,Stephen King,2002,Scribner,32627,9,70
0440207770,Silver Wedding,Maeve Binchy,1990,Dell,32627,7,57
0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,32627,9,92
1401088945,Ground Zero and Beyond,J. P. McCarthy,2003,Xlibris Corporation,32627,3,59
0670030643,The Eyre Affair (Alex Awards (Awards)),Jasper Fforde,2002,Viking Books,32721,8,60
0425169863,Point of Origin,Patricia Daniels Cornwell,1999,Berkley Publishing Group,32721,6,116
0312274920,Round Ireland With a Fridge,Tony Hawks,2001,St. Martin's Press,32721,9,64
0380977788,Coraline,Neil Gaiman,2002,HarperCollins,32721,8,75
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,32721,8,135
0449223612,N Is for Noose,Sue Grafton,1999,Fawcett Books,32721,8,116
0553574574,Beach Music,Pat Conroy,1996,Bantam Books,32721,6,81
0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books,32773,8,108
0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,32773,7,145
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell,32773,9,84
014025448X,At Home in Mitford (The Mitford Years),Jan Karon,1996,Viking Books,32773,8,119
089480829X,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co,32773,9,78
0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,32773,4,158
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,32773,9,285
0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,32773,9,173
0345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books,32773,8,296
0671617028,The Color Purple,Alice Walker,1985,Pocket Books,32773,9,94
0671864173,WAITING TO EXHALE,Terry McMillan,1993,Pocket,32773,7,55
0441304834,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books,32773,9,55
0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling,32773,9,83
0553213105,Pride and Prejudice,Jane Austen,1981,Bantam,32773,8,65
0671727796,The Color Purple,Alice Walker,1990,Pocket,32773,9,76
0440217563,Voyager,DIANA GABALDON,1994,Dell,32773,9,63
0440212561,Outlander,DIANA GABALDON,1992,Dell,32773,9,130
0671797050,FIRST WIVES CLUB,Olivia Goldsmith,1993,Pocket,32773,8,55
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,33580,10,291
0312995423,Digital Fortress : A Thriller,Dan Brown,2003,St. Martin's Press,33580,9,95
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,33580,9,307
0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,33580,3,63
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,33580,10,101
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,33580,7,115
0451190521,The Green Mile: The Mouse on the Mile (Green Mile Series),Stephen King,1996,Signet Book,33580,8,56
0451190491,The Two Dead Girls (Green Mile Series),Stephen King,1996,Signet Book,33580,9,65
0451190548,The Green Mile: Coffey's Hands (Green Mile Series),Stephen King,1996,Signet Book,33580,8,55
0446675059,The Honk and Holler Opening Soon,Billie Letts,1999,Warner Books,33580,8,79
0451190564,The Green Mile: Night Journey (Green Mile Series),Stephen King,1996,Signet Book,33580,8,54
0451190556,The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),Stephen King,1996,Signet Book,33580,8,53
0684848783,Tis : A Memoir,Frank McCourt,1999,Scribner,33816,8,88
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,33816,7,277
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",33816,9,555
0060938455,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,33816,9,173
080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books,33816,7,170
0345339703,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey,33816,9,122
0679444815,Timeline,Michael Crichton,1999,Alfred A. Knopf,33816,8,59
0425158632,Executive Orders (Jack Ryan Novels),Tom Clancy,1997,Berkley Publishing Group,33816,10,72
0971880107,Wild Animus,Rich Shapero,2004,Too Far,33888,7,772
0380730138,Vinegar Hill (Oprah's Book Club (Paperback)),A. Manette Ansay,1998,Perennial,34300,8,160
0375726403,Empire Falls,Richard Russo,2002,Vintage Books USA,34300,5,160
0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,34300,8,222
034540288X,The Lost World,Michael Crichton,1996,Ballantine Books,34300,5,156
0451177096,Dolores Claiborne,Stephen King,2004,Signet Book,34300,7,102
0380731851,Mystic River,Dennis Lehane,2002,HarperTorch,34300,4,156
0142004235,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books,34300,1,65
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,34300,4,194
0451188462,Desperation,Stephen King,1997,Signet Book,34300,6,59
0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,34300,8,190
0375727345,House of Sand and Fog,Andre Dubus III,2000,Vintage Books,34300,7,262
0449227421,The Third Twin,Ken Follett,1997,Fawcett Books,34300,5,71
0743436210,Hearts in Atlantis,Stephen King,2001,Pocket,34300,5,81
0767915054,A Girl Named Zippy: Growing Up Small in Mooreland Indiana (Today Show Book Club #3),HAVEN KIMMEL,2002,Broadway Books,34300,4,60
0451142934,Skeleton Crew,Stephen King,1986,New Amer Library,34300,8,59
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,36003,10,216
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",36003,10,174
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,36003,5,197
0385420161,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books,36003,9,79
1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,36003,7,233
0440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company,36003,7,268
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,36003,8,319
0140298479,Bridget Jones: The Edge of Reason,Helen Fielding,2001,Penguin Books,36003,10,120
0590353403,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,36003,10,101
1558744630,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,Health Communications,36003,9,65
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,36003,10,115
0425152251,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996,Berkley Publishing Group,36003,10,103
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,36003,10,116
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,36003,10,111
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,36003,10,202
0141000198,Bridget Jones's Diary,Helen Fielding,2001,Penguin Putnam,36003,10,102
0971880107,Wild Animus,Rich Shapero,2004,Too Far,37293,3,772
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket,37293,4,104
034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books,37293,8,98
0451180232,Nightmares &amp; Dreamscapes,Stephen King,2004,Signet Book,37293,8,71
0425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group,37293,9,85
0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984,Bantam Books,37293,10,148
0425109720,Patriot Games (Jack Ryan Novels),Tom Clancy,1992,Berkley Publishing Group,37293,8,94
0743418131,Deck the Halls (Holiday Classics),Mary Higgins Clark,2002,Pocket,37293,7,68
0971880107,Wild Animus,Rich Shapero,2004,Too Far,37538,7,772
0316769487,The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",37538,9,174
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994,Warner Books,37538,6,56
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,37538,10,115
0312278586,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,37538,7,230
0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper),37538,8,67
0140293248,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books,37538,5,197
0385335881,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,37538,7,123
0385335482,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,37538,9,202
0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA,37538,10,79
0440226430,Summer Sisters,Judy Blume,1999,Dell Publishing Company,37538,6,268
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications,37538,8,135
0385336179,Shopaholic Ties the Knot,Sophie Kinsella,2003,Delta,37538,6,103
044651652X,The Bridges of Madison County,Robert James Waller,1992,Warner Books,37538,5,205
034536676X,The World According to Garp,John Irving,1994,Ballantine Books,37538,9,59
0452281903,A Man Named Dave: A Story of Triumph and Forgiveness,David J. Pelzer,2000,Plume Books,37567,5,61
0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,37712,10,216
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,37712,10,144
0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star,37712,7,291
0380778556,Rebecca,Daphne Du Maurier,1994,Avon,37712,10,56
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,37712,8,242
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,Regan Books,37712,9,181
0804111359,Secret History,DONNA TARTT,1993,Ballantine Books,37712,4,115
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,37712,9,305
0385721420,Three Junes,JULIA GLASS,2003,Anchor,37712,9,104
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,37712,6,422
1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,37712,8,59
0394820371,The Phantom Tollbooth,Norton Juster,1993,Yearling Books,37712,7,73
0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner,37712,9,155
055321313X,Anne of Green Gables (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1982,Bantam Classics,37712,9,98
0440215625,Dragonfly in Amber,DIANA GABALDON,1993,Dell,37712,10,84
006019491X,Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Isabel Allende,1999,HarperCollins,37712,9,53
0345370775,Jurassic Park,Michael Crichton,1999,Ballantine Books,37712,8,281
0553258001,The Cider House Rules,John Irving,1986,Bantam Books,37712,7,53
0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial,37712,10,171
0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,37712,10,140
0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001,Ballantine Books,37712,8,69
0062502182,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995,HarperSanFrancisco,37712,9,102
067976402X,Snow Falling on Cedars,David Guterson,1995,Vintage Books USA,37712,9,319
